project,mouse,session,session_label,type,name,version,start_s,label,label_name,decided_by,version_at,version_note,added_by,entry_id
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,643.732,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,646.172,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,657.382,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,660.999,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,663.418,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,671.968,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,672.808,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,673.568,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,673.775,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,675.092,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,681.133,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,691.587,garbage,Garbage,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,694.761,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,708.396,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,712.45,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,717.351,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,719.147,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,721.357,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,721.817,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,724.461,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,726.766,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,729.246,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
