Mouse,Group,Type,Session_ID,Channel,Region,TimeFrame,CSD_Val,Voltage_Val,Theta_Val
M3_pten,CNO,PTEN,m3s7,38,HIL,GZ,-4.472137779317873,-388.2416271772541,-0.003838010267334561
M3_pten,CNO,PTEN,m3s7,40,HIL,GZ,5.424089329217072,-385.748190957992,-0.006029332160504735
M3_pten,CNO,PTEN,m3s7,42,HIL,GZ,2.665694041918675,-378.6461001536884,-0.006835440878274695
M3_pten,CNO,PTEN,m3s7,44,HIL,GZ,-7.643176663306432,-368.4101208963029,-0.01068610892860204
M3_pten,CNO,PTEN,m3s7,46,HIL,GZ,-21.4586155388945,-331.6018359908642,-0.01686258008725937
M3_pten,CNO,PTEN,m3s7,48,HIL,GZ,-31.61982054351476,-255.1091928951075,-0.01550109181619938
M3_pten,CNO,PTEN,m3s7,50,DG GCL2,GZ,-32.49301705309132,-146.1074912482925,-0.011337199510962
M3_pten,CNO,PTEN,m3s7,52,DG GCL2,GZ,-59.13092500420032,-28.95150940274918,-0.01518282428559497
M3_pten,CNO,PTEN,m3s7,54,DG GCL2,GZ,-0.7206086189516078,123.413336081583,-0.008708519579110693
M3_pten,CNO,PTEN,m3s7,56,DG MML2,GZ,19.46512858072917,273.1126462175547,-0.006493040009401953
M3_pten,CNO,PTEN,m3s7,58,DG MML2,GZ,26.50845435357861,373.6077814154287,-0.01169549442065774
M3_pten,CNO,PTEN,m3s7,60,DG MML2,GZ,92.70485498571901,466.9230309991889,-0.02612821855160668
M3_pten,CNO,PTEN,m3s7,62,DG OML2,GZ,-53.13093944262427,477.2503128468664,-0.02249674007719793
M3_pten,CNO,PTEN,m3s7,64,DG OML2,GZ,,511.3198535689891,
M5_Pten,Base,PTEN,m5s2,2,CA1,AS,13.30425916120525,-83.14989018737033,-0.002617757384304802
M5_Pten,Base,PTEN,m5s2,4,CA1 SP,AS,13.30425916120525,-86.07539893185944,-0.01090061357410265
M5_Pten,Base,PTEN,m5s2,6,CA1 SP,AS,2.050531489769816,-104.4048135211359,-0.008915039632636072
M5_Pten,Base,PTEN,m5s2,8,CA1,AS,0.07812812200288022,-126.2656564039808,-0.004236906606359732
M5_Pten,Base,PTEN,m5s2,10,CA1,AS,-10.90617070112692,-147.4573918892635,-0.004651332106387923
M5_Pten,Base,PTEN,m5s2,12,CA1,AS,0.8523848355578565,-154.8569548674144,-0.004302442810874951
M5_Pten,Base,PTEN,m5s2,14,CA1,AS,-18.03058126698371,-162.4843233353864,-0.007189846115476301
M5_Pten,Base,PTEN,m5s2,16,CA1,AS,-8.336450132872429,-148.0709091756354,-0.01358954057220866
M5_Pten,Base,PTEN,m5s2,18,CA1 SLM,AS,7.081561076366691,-124.0528154175311,-0.003065878405343591
M5_Pten,Base,PTEN,m5s2,20,CA1 SLM,AS,6.785751303748389,-105.3642811122277,-0.01979760196027814
M5_Pten,Base,PTEN,m5s2,22,CA1 SLM,AS,11.42934033328007,-94.75745996498962,-0.02180608433112358
M5_Pten,Base,PTEN,m5s2,24,DG OML1,AS,50.44703959199168,-89.0259802094139,-0.01801406437193148
M5_Pten,Base,PTEN,m5s2,26,DG OML1,AS,129.8040599774218,-137.1516943967194,-0.02580522780683018
M5_Pten,Base,PTEN,m5s2,28,DG MML1,AS,-54.93351382672633,-313.7699617884466,-0.02909329975782466
M5_Pten,Base,PTEN,m5s2,30,DG MML1,AS,-291.1202901464594,-426.1349246709673,-0.02648901658117549
M5_Pten,Base,PTEN,m5s2,32,DG MML1,AS,-381.9897741917757,-236.0747404612941,-0.040578311353364
M5_Pten,Base,PTEN,m5s2,34,DG GCL1,AS,276.5923619575208,410.4060889279694,-0.02758843897995034
M5_Pten,Base,PTEN,m5s2,36,DG GCL1,AS,227.1622367527176,741.692380786437,-0.02117503760220663
M5_Pten,Base,PTEN,m5s2,38,HIL,AS,-19.20523484954444,785.9671818270228,-0.01933673037607671
M5_Pten,Base,PTEN,m5s2,40,HIL,AS,1.342773437499997,853.9241300084285,-0.004432069488965654
M5_Pten,Base,PTEN,m5s2,42,HIL,AS,-35.01466716951723,919.0661165229511,-0.008346090144436021
M5_Pten,Base,PTEN,m5s2,44,HIL,AS,12.28289591991688,1025.119892294476,-0.005245744749785186
M5_Pten,Base,PTEN,m5s2,46,HIL,AS,70.01840732896409,1118.429350160464,-0.0107847504087819
M5_Pten,Base,PTEN,m5s2,48,HIL,AS,191.9497126508553,1135.138294014199,-0.01829214837663546
M5_Pten,Base,PTEN,m5s2,50,HIL,AS,-9.83469931365903,937.7343901954746,-0.0329363168133693
M5_Pten,Base,PTEN,m5s2,52,HIL,AS,1127.784202165922,671.4157167806666,-0.03299730679314458
M5_Pten,Base,PTEN,m5s2,54,DG GCL2,AS,-853.3961303398723,-805.6364573878371,-0.03539755652152478
M5_Pten,Base,PTEN,m5s2,56,DG GCL2,AS,-356.331281344909,-1412.398595532936,-0.05652698060389463
M5_Pten,Base,PTEN,m5s2,58,DG MML2,AS,-379.775415601023,-1638.76823963466,-0.08012233112015135
M5_Pten,Base,PTEN,m5s2,60,DG MML2,AS,-183.4612990279333,-1435.973741206886,-0.08319255888802542
M5_Pten,Base,PTEN,m5s2,62,DG MML2,AS,157.3619793748,-1000.453458287409,-0.06151952801887249
M5_Pten,Base,PTEN,m5s2,64,DG OML2,AS,157.3619793748,-686.3899705815612,
M5_Pten,Base,PTEN,m5s2,2,CA1,GZ,,-183.4661765176742,-0.002617757384304802
M5_Pten,Base,PTEN,m5s2,4,CA1 SP,GZ,15.13081212197581,-195.3235063396516,-0.01090061357410265
M5_Pten,Base,PTEN,m5s2,6,CA1 SP,GZ,-0.9745936239919288,-226.1587674500512,-0.008915039632636072
M5_Pten,Base,PTEN,m5s2,8,CA1,GZ,-0.03937752016129951,-256.8754602651127,-0.004236906606359732
M5_Pten,Base,PTEN,m5s2,10,CA1,GZ,-11.16352696572582,-288.1319640112705,-0.004651332106387923
M5_Pten,Base,PTEN,m5s2,12,CA1,GZ,3.603043094758046,-305.6750688396517,-0.004302442810874951
M5_Pten,Base,PTEN,m5s2,14,CA1,GZ,-18.41095955141131,-323.7659892097848,-0.007189846115476301
M5_Pten,Base,PTEN,m5s2,16,CA1,GZ,11.2481886340726,-324.9171522797131,-0.01358954057220866
M5_Pten,Base,PTEN,m5s2,18,CA1 SLM,GZ,-0.7471884450604834,-330.8650782850922,-0.003065878405343591
M5_Pten,Base,PTEN,m5s2,20,CA1 SLM,GZ,10.81208259828629,-332.673119716957,-0.01979760196027814
M5_Pten,Base,PTEN,m5s2,22,CA1 SLM,GZ,37.35745337701614,-347.4951572105533,-0.02180608433112358
M5_Pten,Base,PTEN,m5s2,24,DG OML1,GZ,45.23492628528226,-382.1186003137807,-0.01801406437193148
M5_Pten,Base,PTEN,m5s2,26,DG OML1,GZ,137.2158911920363,-471.3049716636783,-0.02580522780683018
M5_Pten,Base,PTEN,m5s2,28,DG MML1,GZ,-183.7010537424393,-696.7248134925719,-0.02909329975782466
