Mouse,Group,Region,TimeFrame,nChannels,Mean_CSD,Mean_Voltage
M5_Pten,Base,HIL,GZ,8,-11.45725865517891,-348.0856223184552
M5_Pten,CNO,CA1,AS,3,-2.7276437387964654,-148.6805371441075
M5_Pten,CNO,CA1,GZ,3,0.29863630022322,-247.36530384358534
M5_Pten,CNO,CA1 SLM,AS,2,-0.34170042741111506,-172.04365167804355
M5_Pten,CNO,CA1 SLM,GZ,2,4.201932986211116,-328.7689244719244
M5_Pten,CNO,CA1 SP,AS,2,-2.514371917245157,-95.36335237929292
M5_Pten,CNO,CA1 SP,GZ,2,-4.537345077584962,-165.88776563872221
M5_Pten,CNO,DG GCL1,AS,4,-70.72633960014456,-132.54822537117485
M5_Pten,CNO,DG GCL1,GZ,4,-38.249108099168346,-586.0564971137661
M5_Pten,CNO,DG GCL2,AS,5,-169.24726146827615,-809.9945936672209
M5_Pten,CNO,DG GCL2,GZ,5,-72.26286857358872,-592.5722001587201
M5_Pten,CNO,DG MML1,AS,2,29.183429220448364,-205.43284435984503
M5_Pten,CNO,DG MML1,GZ,2,26.82294713736679,-504.75375602061075
M5_Pten,CNO,DG MML2,AS,3,170.95482867697004,-100.57124854123444
M5_Pten,CNO,DG MML2,GZ,3,313.18988008982575,1227.4240319566927
M5_Pten,CNO,DG OML1,AS,2,2.1806158721555855,-180.73863790949628
M5_Pten,CNO,DG OML1,GZ,2,4.941210768739202,-404.72789112242947
M5_Pten,CNO,HIL,AS,9,76.8050283335141,560.9806063052248
M5_Pten,CNO,HIL,GZ,9,-19.27986672397032,-504.2161308723347
m28_ptenblind,Base,CA1,AS,3,-32.50669396441913,-66.50321612219594
m28_ptenblind,Base,CA1,GZ,3,-10.991865588772686,-38.721428542840684
m28_ptenblind,Base,CA1 SLM,AS,3,8.850107412509006,-43.71199865064185
m28_ptenblind,Base,CA1 SLM,GZ,3,21.173292590725815,-5.979506695856815
m28_ptenblind,Base,CA1 SP,AS,3,-15.724308960273106,-84.95956041011573
m28_ptenblind,Base,CA1 SP,GZ,3,-12.537433255103345,-56.26603423571978
m28_ptenblind,Base,DG,AS,4,18.09479940272962,177.75976014829772
m28_ptenblind,Base,DG,GZ,4,28.405589442099313,417.39792120261274
m28_ptenblind,Base,DG GCL1,AS,2,-163.62427323675513,-907.4440160727597
m28_ptenblind,Base,DG GCL1,GZ,2,-186.05915192634828,-1580.0870676509671
m28_ptenblind,Base,DG GCL2,AS,3,-165.49066997245149,-844.3109820987178
m28_ptenblind,Base,DG GCL2,GZ,3,-324.82454853673124,-1267.9913004890816
m28_ptenblind,Base,DG MML1,AS,2,-147.19895755543428,-914.3230786462047
m28_ptenblind,Base,DG MML1,GZ,2,-387.21195344002007,-1666.5488696489174
m28_ptenblind,Base,DG MML2,AS,2,154.22898119367895,-12.587693716975146
m28_ptenblind,Base,DG MML2,GZ,2,282.54004447690903,111.87181316438267
m28_ptenblind,Base,DG OML1,AS,3,113.58976242182511,-209.52778733122898
m28_ptenblind,Base,DG OML1,GZ,3,214.5396817115045,-370.24232207751663
m28_ptenblind,Base,DG OML2,AS,1,-14.36371083759587,136.8779384248979
m28_ptenblind,Base,DG OML2,GZ,1,18.69632351783013,377.0094699546938
m28_ptenblind,Base,HIL,AS,6,74.35980599249716,-408.39763498899845
m28_ptenblind,Base,HIL,GZ,6,132.80191729145668,-867.5506466724835
m28_ptenblind,CNO,CA1,AS,3,-5.280664611452178,-429.0569986050554
m28_ptenblind,CNO,CA1,GZ,3,-9.100350000525037,-134.54112068551487
m28_ptenblind,CNO,CA1 SLM,AS,3,-12.781034243584484,-486.34890006290925
m28_ptenblind,CNO,CA1 SLM,GZ,3,-24.84137012112525,-130.34976896692493
m28_ptenblind,CNO,CA1 SP,AS,2,-49.58180576334217,-299.9821935946516
m28_ptenblind,CNO,CA1 SP,GZ,2,-27.28240720687374,-49.240612592853495
m28_ptenblind,CNO,DG,AS,4,23.42691445899437,-265.0160354202714
m28_ptenblind,CNO,DG,GZ,4,40.068308512369796,747.4989109351988
m28_ptenblind,CNO,DG GCL1,AS,2,-646.627357853648,-1153.9444112184135
m28_ptenblind,CNO,DG GCL1,GZ,2,-652.5946278725902,-2099.5241227697156
m28_ptenblind,CNO,DG GCL2,AS,3,-547.0754651055821,-1206.2113565363165
m28_ptenblind,CNO,DG GCL2,GZ,3,-292.60442590200773,-1531.5861936475412
m28_ptenblind,CNO,DG MML1,AS,2,165.3879511996609,-771.6073831581971
m28_ptenblind,CNO,DG MML1,GZ,2,385.94156695950426,-845.6058814877371
m28_ptenblind,CNO,DG MML2,AS,2,189.43705156331174,-656.4405607484682
m28_ptenblind,CNO,DG MML2,GZ,2,356.3008769865959,182.0978571156988
m28_ptenblind,CNO,DG OML1,AS,2,55.67016991812858,-459.58687556729774
m28_ptenblind,CNO,DG OML1,GZ,2,230.00055743801983,-23.235539920994466
m28_ptenblind,CNO,DG OML2,AS,1,-10.18598805303158,-420.904689804647
m28_ptenblind,CNO,DG OML2,GZ,1,92.09842066611009,638.3153884137263
m28_ptenblind,CNO,HIL,AS,8,258.57921146675767,1048.9756932397106
m28_ptenblind,CNO,HIL,GZ,8,21.15365766709853,-791.7582207038754
