Mouse,Channel,TimeFrame,Region,Base_CSD,CNO_CSD,Delta_CSD,Base_Voltage,CNO_Voltage,Delta_Voltage,Base_Theta,CNO_Theta,Delta_Theta
M34_ptenblind,44,AS,HIL,130.6645620204603,16.21329684217437,-114.45126517828592,73.14664595354643,-63.62600275660385,-136.7726487101503,-0.01772582333572078,-0.008479122836199055,0.009246700499521724
M34_ptenblind,44,GZ,HIL,67.64713410408267,14.44761214717735,-53.199521956905315,-215.4788658267161,-629.3015491208655,-413.82268329414944,-0.01772582333572078,-0.008479122836199055,0.009246700499521724
M34_ptenblind,46,AS,HIL,82.11101717351339,124.2991772541216,42.18816008060821,-101.9035117754798,-84.24533918614775,17.658172589332054,-0.01387037717750601,-0.009260398132112034,0.004609979045393975
M34_ptenblind,46,GZ,HIL,65.2958039314516,8.22793283770151,-57.06787109375009,-353.3677898469518,-714.226894691342,-360.8591048443902,-0.01387037717750601,-0.009260398132112034,0.004609979045393975
M34_ptenblind,48,AS,HIL,38.7152552299792,66.32826682813074,27.613011598151537,-364.9787744545837,-266.5478356434313,98.43093881115237,-0.0174156554604305,-0.009923379601894922,0.007492275858535579
M34_ptenblind,48,GZ,HIL,71.96487918976818,-11.01543936311929,-82.98031855288747,-550.8452868852459,-869.106891283665,-318.2616043984192,-0.0174156554604305,-0.009923379601894922,0.007492275858535579
M34_ptenblind,50,AS,DG GCL2|HIL,-64.40871450907126,-16.95545267614517,47.45326183292609,-675.4662604747472,-534.0138035691131,141.4524569056341,-0.03925808777275531,-0.01506011039003,0.02419797738272531
M34_ptenblind,50,GZ,DG GCL2|HIL,-7.742604901713718,-20.47912316388232,-12.736518262168602,-826.4035084208504,-1082.584068423412,-256.1805600025616,-0.03925808777275531,-0.01506011039003,0.02419797738272531
M34_ptenblind,52,AS,DG GCL2,-201.6518829423753,-130.8028667479221,70.84901619445318,-931.1739339868063,-789.8131202648007,141.36081372200567,-0.04049913107955393,-0.03192238931348878,0.008576741766065148
M34_ptenblind,52,GZ,DG GCL2,-221.009285219254,-74.78339551231265,146.22588970694136,-1094.484172883581,-1290.51769533537,-196.03352245178894,-0.04049913107955393,-0.03192238931348878,0.008576741766065148
