# Jarvis Panorama -- PTEN m1 s2 2023-10-02 CSC1 panorama -- CSC1 -- 2-75 Hz -- 1,698 windows of 8 s every 1 s -- taken 2026-09-18T14:21:16
t_s,dominant_peak_hz,dominant_peak_margin,dominant_peak_power,dominant_flat_hz,aperiodic_exponent,r_squared
289.768,54.878,0.00417,0.6036,47.0,1.62541,0.9202
290.7707,39.29753,0.00337,0.56219,47.0,1.45908,0.94093
291.7733,3.54319,0.02874,0.60348,40.0,1.45156,0.94594
292.776,31.895,0.00651,0.61978,47.0,1.61575,0.90635
293.7787,51.27286,0.02314,0.63807,30.0,1.46497,0.93371
294.7813,46.01597,0.09881,0.72547,51.5,1.55564,0.9254
295.784,39.95291,0.09198,0.66325,45.5,1.65938,0.90483
296.7867,39.80633,0.03339,0.6752,38.5,1.68123,0.91275
297.7893,45.5239,0.04935,0.69138,38.5,1.63685,0.89975
298.792,4.56918,0.08867,0.74564,5.0,1.48241,0.92642
299.7947,4.51434,0.21925,0.8208,5.0,1.38444,0.92088
300.7973,4.60183,0.2644,0.98555,5.0,1.2719,0.88357
301.8,4.2983,0.17623,0.90083,5.0,1.29398,0.91671
302.8027,3.96827,0.11961,0.89821,5.0,1.11394,0.84786
303.8053,41.30354,0.09583,0.75786,41.0,1.52843,0.85974
304.808,33.49544,0.11165,0.80404,41.0,1.49294,0.86319
305.8107,33.45298,0.24478,0.89122,33.5,1.48978,0.86579
306.8133,51.45398,0.04077,0.68452,33.5,1.57821,0.88433
307.816,28.74118,0.00491,0.7074,2.5,1.49921,0.86585
308.8187,51.56552,0.01387,0.71145,33.5,1.50148,0.8723
309.8213,28.54342,0.06413,0.71305,28.5,1.51336,0.88812
310.824,51.56712,0.05038,0.77021,51.5,1.58975,0.89859
311.8267,37.98995,0.20526,0.73794,51.5,1.56316,0.90287
312.8293,42.65177,0.08721,0.68514,38.0,1.3866,0.93759
313.832,37.48195,0.05827,0.71537,37.0,1.37408,0.92501
314.8347,37.99859,0.00425,0.71234,37.0,1.41155,0.93388
315.8373,37.74285,0.11279,0.70417,37.0,1.34514,0.91037
316.84,37.66993,0.08294,0.6597,37.0,1.45703,0.93242
317.8427,37.90799,0.23399,0.76143,37.0,1.59967,0.90251
318.8453,37.96337,0.12146,0.78685,37.0,1.63095,0.91543
319.848,31.02673,0.07756,0.84826,38.5,1.53542,0.94747
320.8507,34.65853,0.00513,0.79939,38.5,1.55448,0.95406
321.8533,34.68512,0.13543,0.81375,38.5,1.53933,0.93621
322.856,34.65729,0.12882,0.89051,38.5,1.53773,0.93369
323.8587,34.64381,0.17046,0.87701,38.5,1.52903,0.94013
324.8613,34.56594,0.10762,0.91773,34.5,1.50209,0.92344
325.864,34.61991,0.23191,0.96038,34.5,1.47298,0.92489
326.8667,34.44167,0.18376,0.85558,34.5,1.49466,0.87708
327.8693,38.66004,0.16013,0.75174,38.5,1.46647,0.88257
328.872,59.50103,0.00082,0.55301,34.5,1.34987,0.87197
329.8747,58.63468,0.03259,0.62211,27.5,1.19709,0.90395
330.8773,25.49725,0.14266,0.68491,34.5,1.23331,0.8804
331.88,25.61312,0.08254,0.66526,35.0,1.27179,0.86129
332.8827,3.54587,0.02098,0.5735,35.0,1.22894,0.88147
333.8853,37.73343,0.08595,0.75967,37.5,1.42103,0.93
334.888,40.32376,0.17885,0.89555,35.0,1.36144,0.93134
335.8907,40.22958,0.06725,0.87316,35.0,1.4647,0.92838
336.8933,40.14994,0.16244,0.94496,40.0,1.59571,0.90813
337.896,40.28093,0.03963,0.85776,47.5,1.60216,0.88854
338.8987,37.55111,0.03004,0.88168,37.5,1.61408,0.90039
339.9013,37.59974,0.03372,0.8479,47.5,1.65987,0.88074
340.904,47.42391,0.09861,0.69072,47.5,1.67941,0.90433
341.9067,33.67244,0.06328,0.70271,38.0,1.72695,0.91921
342.9093,38.47256,0.28589,0.77804,30.0,1.6901,0.92445
343.912,38.31315,0.03577,0.77714,30.0,1.65545,0.90821
344.9147,38.39091,0.00792,0.76657,38.5,1.64685,0.90462
345.9173,38.11753,0.04089,0.65815,38.5,1.58486,0.89486
346.92,41.96008,0.02574,0.67645,38.5,1.56693,0.90047
347.9227,46.04274,0.00856,0.65943,3.0,1.42562,0.88795
348.9253,48.2591,0.00834,0.64974,3.0,1.36114,0.90491
349.928,3.35359,0.01513,0.59733,48.0,1.41406,0.92622
350.9307,41.36472,0.0112,0.55634,48.0,1.489,0.92783
351.9333,41.38317,0.01664,0.52776,25.0,1.49088,0.92696
352.936,37.11225,0.12987,0.61447,48.0,1.58342,0.91472
353.9387,40.83927,0.10921,0.66361,3.5,1.48398,0.91236
354.9413,41.02358,0.10559,0.69508,3.5,1.51267,0.9377
355.944,3.16973,0.07767,0.64401,3.5,1.47066,0.92919
356.9467,36.77614,0.08594,0.65115,40.5,1.56564,0.883
357.9493,3.49705,0.27858,0.85315,3.5,1.27902,0.93378
358.952,36.78778,0.09418,0.68593,40.5,1.53693,0.88351
359.9547,3.45228,0.26329,0.87557,3.5,1.19708,0.92368
360.9573,3.53591,0.30388,0.85308,3.5,1.27348,0.93704
361.96,3.49858,0.22963,0.81284,3.5,1.25884,0.93673
362.9627,3.53812,0.19183,0.75869,3.5,1.24942,0.93567
363.9653,3.30364,0.18412,0.65041,34.5,1.36983,0.93685
364.968,3.22729,0.00722,0.69084,33.5,1.35179,0.92873
365.9707,33.37661,0.17106,0.7838,33.5,1.36739,0.92871
366.9733,33.3494,0.07972,0.68289,36.0,1.40813,0.93587
367.976,33.70623,0.15801,0.64305,33.5,1.35715,0.91642
368.9787,33.82967,0.05043,0.71332,34.0,1.56701,0.91217
369.9813,35.07273,0.1096,0.63421,36.0,1.67088,0.9115
370.984,25.2309,0.0126,0.56456,36.0,1.63643,0.88431
371.9867,33.57019,0.15383,0.68441,39.5,1.65306,0.896
372.9893,33.77034,0.10777,0.73075,39.5,1.49906,0.90539
373.992,39.3764,0.08847,0.81207,39.5,1.41908,0.87628
374.9947,39.47138,0.01109,0.82179,39.5,1.46537,0.90264
375.9973,34.72824,0.02668,0.72844,39.5,1.38432,0.90845
377.0,35.04539,0.04496,0.76377,28.0,1.29309,0.88672
378.0027,35.00494,0.04113,0.78748,36.0,1.27552,0.88973
379.0053,47.55083,0.12637,0.79273,47.5,1.31197,0.88203
380.008,52.38258,0.00545,0.68985,5.5,1.27107,0.86173
381.0107,5.4805,0.38661,1.0924,5.5,1.32224,0.8724
382.0133,5.40277,0.35337,1.23045,5.5,1.28275,0.88523
383.016,5.327,0.40754,1.22309,5.5,1.279,0.90555
384.0187,5.32366,0.37474,1.24467,5.5,1.28582,0.89101
385.0213,5.34063,0.31474,1.25169,5.5,1.26019,0.8971
386.024,5.27757,0.26731,1.26485,5.5,1.2514,0.90137
387.0267,5.17306,0.31588,1.27165,5.5,1.23297,0.83689
388.0293,5.13362,0.2165,1.20726,5.0,1.39415,0.92009
389.032,5.10171,0.34664,1.21564,5.0,1.39228,0.92377
390.0347,5.17858,0.24092,1.17485,5.5,1.41155,0.93089
391.0373,5.20285,0.32354,1.2209,5.0,1.3632,0.9322
392.04,5.19088,0.20455,1.34297,5.0,1.29409,0.88487
393.0427,5.16508,0.32203,1.40156,5.0,1.29847,0.92441
394.0453,5.13964,0.38278,1.45191,5.0,1.19633,0.91633
395.048,5.09328,0.29156,1.46974,5.0,1.17111,0.917
396.0507,5.13881,0.47313,1.51428,5.0,1.16577,0.90801
397.0533,4.98137,0.47884,1.48032,5.0,1.2245,0.91009
398.056,5.04788,0.46557,1.53321,5.0,1.22841,0.91031
399.0587,4.99317,0.40836,1.46027,5.0,1.2848,0.91936
400.0613,4.99811,0.37123,1.42631,5.0,1.31649,0.91033
401.064,5.03135,0.4489,1.33207,5.0,1.33353,0.92467
402.0667,5.05668,0.31779,1.2592,5.0,1.36082,0.92629
