project,mouse,session,session_label,type,name,start_s,end_s,channel,amplitude,pipeline,run_id,added_by,added_at,entry_id
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,357.732,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,412.233,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,412.593,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,416.143,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,417.91,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,418.458,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,418.926,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,426.613,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,427.364,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,435.095,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,435.245,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,441.762,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,446.016,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,446.185,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,446.956,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,447.666,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,455.21,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,459.032,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,459.208,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,459.795,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,462.251,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,467.207,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,468.171,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,470.502,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,471.114,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,472.961,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,473.186,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,473.541,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,473.659,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,475.416,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,476.085,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,478.056,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,478.953,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,489.655,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,491.306,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,493.255,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,494.154,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,494.791,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,496.202,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,497.217,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,497.75,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,499.934,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,501.815,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,502.69,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,579.777,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,581.088,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,581.829,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,582.602,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,588.587,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,592.204,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,593.691,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,594.98,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,595.339,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,599.721,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,601.151,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,601.294,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,602.085,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,603.432,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,604.046,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,607.72,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,607.974,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,608.079,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,611.558,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
