n,stamp_s,refined_s,offset_ms,idx,peak_uv_mm2,pc1,pc2,k_type,db_type,type,by
40,1527.143965,1527.1423869999999,-1.5780000001086592,1527142,13165.596962467316,0.6641921412558537,0.03766899298156686,1,2,1,Rain Younger
41,1529.245965,1529.242586,-3.378999999995358,1529243,13564.50343575016,-0.09692861152912163,-0.28272012734177726,2,0,2,Rain Younger
42,1532.053965,1532.051585,-2.380000000130167,1532052,14210.478739092427,-0.609325428587074,-0.04183920275187489,2,0,2,Rain Younger
43,1539.194965,1539.195449,0.4840000001422595,1539195,12800.368768999653,0.1916922977878349,0.5273716082388438,1,0,1,Rain Younger
44,1558.672965,1558.675508,2.543000000059692,1558676,14228.388177687122,0.20631544696559467,0.6552020730494506,1,0,1,Rain Younger
45,1566.167965,1566.168838,0.8729999999559368,1566169,13098.162551168953,0.20882465740646414,0.2945374377560957,1,2,1,Rain Younger
46,1568.154965,1568.1525709999999,-2.3940000000948203,1568153,21273.971153013168,-0.5695025103855762,0.4140894899475472,2,0,2,Rain Younger
47,1573.711965,1573.710302,-1.6630000000077416,1573710,40946.42813602571,-0.9413637071607982,0.08455008378129537,2,0,2,Rain Younger
48,1591.690965,1591.6914940000001,0.5290000001423323,1591691,29838.503029607957,-1.0438912546382744,0.015625738814385046,2,0,2,Rain Younger
49,1605.413965,1605.416089,2.1240000000943837,1605416,29000.984945974044,-0.9030639371994865,0.04558538833855155,2,0,2,Rain Younger
50,1618.139965,1618.134817,-5.147999999962849,1618135,28851.889681908393,-0.8861351721874999,-0.08920961547812371,2,0,2,Rain Younger
51,1620.794965,1620.794149,-0.8159999999861611,1620794,13652.016473831669,-0.07949293934882502,-0.5319468363950657,2,0,2,Rain Younger
52,1627.854965,1627.851747,-3.2180000000607833,1627852,22206.514635639807,-0.8749594380613397,0.26402006813233536,2,0,2,Rain Younger
53,1646.590965,1646.587939,-3.0260000000907894,1646588,13630.736757586079,-0.20144046991275433,-0.10202994678645173,2,0,2,Rain Younger
54,1649.943965,1649.9470039999999,3.0389999999442807,1649947,13180.6013656124,0.07591908535820573,0.24911254565088892,1,2,1,Rain Younger
55,1653.093965,1653.097336,3.371000000015556,1653097,13495.720650211457,0.4951852695441799,-0.2387531501706592,1,2,1,Rain Younger
56,1653.879965,1653.881403,1.4380000000073778,1653881,13463.423626807427,0.5404383557972468,-0.10046580373997539,1,2,1,Rain Younger
57,1657.648965,1657.648135,-0.8300000001781882,1657648,28067.756846397155,-0.8498836500463577,0.09837204416058033,2,0,2,Rain Younger
58,1663.555965,1663.5561989999999,0.23399999986395414,1663556,30034.990882812006,-0.9356206249984796,0.014661983368621128,2,0,2,Rain Younger
59,1665.460965,1665.457665,-3.300000000081127,1665458,13266.71409410046,-0.3309347381421794,-1.0998124478052984,2,0,2,Rain Younger
60,1665.720965,1665.723665,2.7000000000043656,1665724,13392.143949693249,-0.4678890892445039,-1.1268346040348682,2,0,2,Rain Younger
61,1669.505965,1669.507463,1.4979999998558924,1669507,13153.678511865677,0.09956153515870265,0.6381472606083466,1,0,1,Rain Younger
62,1670.865965,1670.865729,-0.23599999985890463,1670866,12983.271905714466,0.1679374143677163,0.49930769859243573,1,0,1,Rain Younger
63,1698.528965,1698.530785,1.8199999999524152,1698531,12731.478090101673,0.48610279588053695,0.02144302492649214,1,2,1,Rain Younger
64,1705.694965,1705.696782,1.8170000000736763,1705697,12716.083971823415,0.7527622331679436,0.6553693255730697,1,0,1,Rain Younger
